Scale,|J|,Open/total,Gurobi,Gurobi,Gurobi,TQ-ALNS,TQ-ALNS,TQ-ALNS,TQ-ALNS,TQ-ALNS,TQ-ALNS
Scale,|J|,Open/total,Incumb.,Gap (%),Time (s),Best Obj.,Mean Obj.,Best dev. / (%),Mean dev. / (%),CV (%),Time (s)
Medium,50,4/12,949.33,34.94,"1,800.63*",806.18,853.46,0.00,5.87,4.02,565.00
Medium,60,4/12,"7,835.23",92.16,"1,800.30*",790.87,823.06,0.00,4.07,2.47,565.00
Medium,70,4/12,"1,072.82",43.62,"1,800.61*",836.03,876.06,0.00,4.79,2.73,565.00
Medium,80,4/12,"1,292.02",49.93,"1,800.53*",898.38,964.57,0.00,7.37,3.01,565.00
Medium avg.,,,,55.16,"1,800.52",,,0.00,5.53,3.06,565.00
Large,100,5/15,–†,–,"1,800.58*","1,225.98","1,258.11",0.00,2.62,1.34,545.01
Large,120,5/15,–†,–,"1,800.56*","1,178.27","1,191.89",0.00,1.16,0.97,545.00
Large,150,6/18,–†,–,"1,800.81*","1,402.04","1,447.91",0.00,3.27,1.12,545.04
Large,170,6/18,–†,–,"1,800.66*","1,826.92","1,828.67",0.00,0.10,0.04,545.04
Large avg.,,,,,"1,800.65",,,0.00,1.79,0.87,545.02
