Instance size,Algorithm,Runs,Valid runs,Mean objective value,Mean dev. from run BKS (%),Std. Dev.,CV (%),Mean coverage rate (%),Mean open platforms,Mean time (s),Feasibility rate (%)
Small-scale,MIP / benchmark,10,10,114.12,0.00,6.17,5.41,98.75,3.00,0.06,100.00
Small-scale,TQ-ALNS,10,10,118.02,3.36,9.90,8.39,100.00,3.00,1.53,100.00
Medium-scale,Greedy,10,10,175.86,7.75,16.78,9.54,100.00,4.00,0.001,100.00
Medium-scale,ALNS-only,10,10,165.85,1.25,20.32,12.25,100.00,4.00,4.27,100.00
Medium-scale,ALNS–SA,10,10,167.25,2.20,19.42,11.61,100.00,4.00,4.26,100.00
Medium-scale,TQ-ALNS,10,10,163.65,0.00,17.43,10.65,100.00,4.00,4.83,100.00
Large-scale,Greedy,10,10,519.57,0.27,4.43,0.85,100.00,14.00,0.01,100.00
Large-scale,ALNS-only,10,10,518.16,0.00002,0.007,0.0014,100.00,14.00,23.94,100.00
Large-scale,ALNS–SA,10,10,518.16,0.00021,0.008,0.0015,100.00,14.00,24.02,100.00
Large-scale,TQ-ALNS,10,10,518.16,0.00063,0.007,0.0013,100.00,14.00,24.30,100.00
